pair_dir,runs_rows,summaries_rows,origin_count,pair_id_count,powertrain_nonempty,facility_id_nonempty,retail_id_nonempty,status,issues
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1311_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1311_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1312_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1312_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1313_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1313_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1314_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1314_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1315_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1315_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1316_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1316_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1317_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1317_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1318_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1318_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1319_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1319_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1320_freeflow,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
/Users/dMac/Repos/coldchain-freight-montecarlo/outputs/run_bundle/canonical/analysis_core_refrigerated/analysis_core_refrigerated_diesel/pair_ANALYSIS_CORE_diesel_seed_1320_stochastic,2,2,2,1,TRUE,TRUE,TRUE,PASS,""
